"","age","workclass","education","marital.status","occupation","relationship","race","gender","hrs.per.week","class"
"29",22,"State-gov","Some-college","Married-civ-spouse","Other-service","Husband","Black","Male",15,"<=50K"
"30",21,"Private","Some-college","Never-married","Machine-op-inspct","Own-child","White","Male",40,"<=50K"
"31",19,"Private","HS-grad","Married-AF-spouse","Adm-clerical","Wife","White","Female",25,"<=50K"
"32",48,"Self-emp-not-inc","Assoc-acdm","Married-civ-spouse","Prof-specialty","Husband","White","Male",40,"<=50K"
"33",31,"Private","9th","Married-civ-spouse","Machine-op-inspct","Husband","White","Male",43,"<=50K"
"34",53,"Self-emp-not-inc","Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male",40,"<=50K"
"35",24,"Private","Bachelors","Married-civ-spouse","Tech-support","Husband","White","Male",50,"<=50K"
"36",49,"Private","HS-grad","Separated","Adm-clerical","Unmarried","White","Female",40,"<=50K"
"37",25,"Private","HS-grad","Never-married","Handlers-cleaners","Not-in-family","White","Male",35,"<=50K"
"38",57,"Federal-gov","Bachelors","Married-civ-spouse","Prof-specialty","Husband","Black","Male",40,">50K"
"39",53,"Private","HS-grad","Married-civ-spouse","Machine-op-inspct","Husband","White","Male",38,"<=50K"
"40",44,"Private","Masters","Divorced","Exec-managerial","Unmarried","White","Female",40,"<=50K"
"41",41,"State-gov","Assoc-voc","Married-civ-spouse","Craft-repair","Husband","White","Male",40,"<=50K"
"42",29,"Private","Assoc-voc","Never-married","Prof-specialty","Not-in-family","White","Male",43,"<=50K"
"43",25,"Private","Some-college","Married-civ-spouse","Exec-managerial","Wife","Other","Female",40,"<=50K"
"44",50,"Federal-gov","Bachelors","Divorced","Exec-managerial","Not-in-family","White","Male",55,">50K"
"45",47,"Self-emp-inc","HS-grad","Divorced","Exec-managerial","Not-in-family","White","Male",60,"<=50K"
"46",43,"Private","Some-college","Married-civ-spouse","Tech-support","Husband","White","Male",40,">50K"
"47",41,"Private","HS-grad","Married-civ-spouse","Adm-clerical","Husband","White","Male",48,"<=50K"
"48",30,"Private","HS-grad","Married-civ-spouse","Machine-op-inspct","Husband","White","Male",40,"<=50K"
"49",30,"Private","Bachelors","Married-civ-spouse","Sales","Husband","White","Male",40,"<=50K"
"50",48,"Private","HS-grad","Married-civ-spouse","Transport-moving","Husband","White","Male",40,"<=50K"
"51",42,"Private","Doctorate","Married-civ-spouse","Prof-specialty","Husband","White","Male",45,">50K"
"52",29,"Private","Some-college","Divorced","Tech-support","Not-in-family","White","Male",58,"<=50K"
"53",36,"Private","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",40,"<=50K"
"54",28,"Private","Some-college","Divorced","Adm-clerical","Not-in-family","White","Female",40,"<=50K"
"55",53,"Private","HS-grad","Married-civ-spouse","Adm-clerical","Wife","White","Female",40,">50K"
"56",49,"Self-emp-inc","Some-college","Married-civ-spouse","Exec-managerial","Husband","White","Male",50,">50K"
"57",19,"Private","Some-college","Never-married","Prof-specialty","Own-child","White","Male",32,"<=50K"
"58",31,"Private","Bachelors","Separated","Sales","Own-child","Black","Female",40,"<=50K"
"59",29,"Self-emp-not-inc","Bachelors","Married-civ-spouse","Sales","Husband","White","Male",70,">50K"
"60",23,"Private","Some-college","Never-married","Machine-op-inspct","Not-in-family","White","Male",40,"<=50K"
"61",79,"Private","Some-college","Married-civ-spouse","Prof-specialty","Other-relative","White","Male",20,"<=50K"
"62",40,"Private","Assoc-acdm","Married-civ-spouse","Adm-clerical","Husband","White","Male",40,"<=50K"
"63",18,"Private","11th","Never-married","Other-service","Own-child","White","Female",22,"<=50K"
"64",31,"Local-gov","7th-8th","Married-civ-spouse","Farming-fishing","Husband","White","Male",40,"<=50K"
"65",18,"Private","HS-grad","Never-married","Sales","Not-in-family","White","Male",30,"<=50K"
"66",46,"Private","HS-grad","Married-civ-spouse","Other-service","Wife","White","Female",40,"<=50K"
"67",59,"Private","HS-grad","Married-civ-spouse","Sales","Husband","White","Male",48,"<=50K"
"68",44,"Private","HS-grad","Divorced","Craft-repair","Not-in-family","White","Female",40,">50K"
"69",53,"Private","HS-grad","Divorced","Sales","Own-child","White","Female",35,"<=50K"
"70",49,"Local-gov","HS-grad","Married-civ-spouse","Protective-serv","Husband","White","Male",40,">50K"
"71",33,"Private","Masters","Married-civ-spouse","Prof-specialty","Husband","White","Male",50,"<=50K"
"72",30,"Private","9th","Never-married","Sales","Not-in-family","White","Male",40,"<=50K"
"73",43,"Federal-gov","Doctorate","Never-married","Prof-specialty","Not-in-family","White","Female",50,">50K"
"74",57,"Private","Assoc-voc","Married-civ-spouse","Prof-specialty","Husband","White","Male",40,"<=50K"
"75",37,"Private","Some-college","Divorced","Craft-repair","Unmarried","White","Female",40,"<=50K"
"76",28,"Private","Some-college","Divorced","Machine-op-inspct","Unmarried","Black","Female",25,"<=50K"
"77",34,"Local-gov","Bachelors","Married-civ-spouse","Protective-serv","Husband","White","Male",40,">50K"
"78",29,"Local-gov","Some-college","Never-married","Handlers-cleaners","Not-in-family","White","Male",50,"<=50K"
"79",48,"Self-emp-not-inc","Doctorate","Married-civ-spouse","Prof-specialty","Husband","White","Male",60,">50K"
"80",37,"Private","Some-college","Married-civ-spouse","Sales","Husband","White","Male",48,">50K"
"81",32,"Federal-gov","HS-grad","Never-married","Other-service","Own-child","Black","Male",40,"<=50K"
"82",76,"Private","Masters","Married-civ-spouse","Exec-managerial","Husband","White","Male",40,">50K"
"83",44,"Private","Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",60,">50K"
"84",47,"Self-emp-not-inc","Masters","Never-married","Prof-specialty","Not-in-family","White","Female",50,"<=50K"
"85",20,"Private","Some-college","Never-married","Tech-support","Own-child","White","Female",40,"<=50K"
"86",29,"Private","HS-grad","Never-married","Craft-repair","Not-in-family","White","Male",40,"<=50K"
"87",32,"Self-emp-inc","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",40,">50K"
"88",30,"Private","11th","Never-married","Handlers-cleaners","Own-child","White","Male",40,"<=50K"
"89",31,"Local-gov","HS-grad","Never-married","Adm-clerical","Not-in-family","White","Female",40,"<=50K"
"90",42,"Private","HS-grad","Married-civ-spouse","Handlers-cleaners","Husband","White","Male",40,"<=50K"
"91",24,"Private","Bachelors","Never-married","Sales","Other-relative","White","Male",40,"<=50K"
"92",38,"Private","Prof-school","Married-civ-spouse","Prof-specialty","Husband","White","Male",40,">50K"
"93",28,"Private","Some-college","Married-civ-spouse","Sales","Wife","White","Female",25,"<=50K"
"94",36,"Private","HS-grad","Never-married","Machine-op-inspct","Own-child","White","Female",40,"<=50K"
"95",53,"Private","9th","Married-civ-spouse","Handlers-cleaners","Husband","White","Male",50,"<=50K"
"96",56,"Self-emp-inc","Some-college","Married-civ-spouse","Sales","Husband","White","Male",50,"<=50K"
"97",49,"Local-gov","Assoc-voc","Married-civ-spouse","Craft-repair","Husband","Black","Male",40,">50K"
"98",55,"Private","Some-college","Married-civ-spouse","Sales","Husband","White","Male",56,"<=50K"
"99",22,"Private","HS-grad","Never-married","Craft-repair","Not-in-family","White","Male",41,"<=50K"
"100",21,"Private","Some-college","Never-married","Other-service","Own-child","White","Female",40,"<=50K"
"101",40,"Private","Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",60,"<=50K"
"102",29,"State-gov","Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male",50,">50K"
"103",19,"Private","Some-college","Never-married","Other-service","Own-child","Black","Male",35,"<=50K"
"104",47,"Private","Bachelors","Married-civ-spouse","Exec-managerial","Wife","White","Female",40,">50K"
"105",20,"Private","Some-college","Never-married","Adm-clerical","Own-child","White","Female",28,"<=50K"
"106",31,"Private","Assoc-acdm","Married-civ-spouse","Adm-clerical","Husband","White","Male",40,">50K"
"107",39,"Private","Some-college","Divorced","Craft-repair","Not-in-family","White","Male",40,"<=50K"
"108",28,"Private","Assoc-acdm","Never-married","Sales","Not-in-family","White","Female",60,"<=50K"
"109",24,"Private","HS-grad","Never-married","Other-service","Not-in-family","White","Female",40,"<=50K"
"110",38,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",35,"<=50K"
"111",37,"Private","Bachelors","Married-civ-spouse","Sales","Husband","White","Male",50,"<=50K"
"112",46,"Private","Assoc-acdm","Divorced","Tech-support","Not-in-family","Black","Female",36,"<=50K"
"113",43,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",60,"<=50K"
"114",27,"Private","Assoc-voc","Married-civ-spouse","Adm-clerical","Wife","White","Female",35,"<=50K"
"115",20,"Private","Some-college","Never-married","Sales","Own-child","White","Male",20,"<=50K"
"116",49,"Private","Some-college","Married-civ-spouse","Craft-repair","Husband","Asian-Pac-Islander","Male",40,">50K"
"117",61,"Self-emp-inc","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",40,"<=50K"
"118",27,"Private","Some-college","Never-married","Sales","Own-child","White","Female",40,"<=50K"
"119",45,"Private","Assoc-voc","Never-married","Prof-specialty","Not-in-family","White","Female",40,">50K"
"120",70,"Private","Some-college","Never-married","Tech-support","Other-relative","White","Male",40,"<=50K"
"121",31,"Private","HS-grad","Never-married","Transport-moving","Unmarried","Black","Female",30,"<=50K"
"122",22,"Private","Some-college","Married-civ-spouse","Other-service","Husband","White","Male",24,"<=50K"
"123",36,"Private","HS-grad","Widowed","Other-service","Unmarried","White","Female",24,"<=50K"
"124",64,"Private","11th","Married-civ-spouse","Craft-repair","Husband","White","Male",40,"<=50K"
"125",34,"Private","HS-grad","Never-married","Adm-clerical","Not-in-family","White","Female",40,"<=50K"
"126",21,"Private","HS-grad","Never-married","Craft-repair","Own-child","White","Male",35,"<=50K"
"127",48,"Private","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",46,"<=50K"
"128",23,"Private","Bachelors","Never-married","Handlers-cleaners","Not-in-family","White","Male",40,"<=50K"
"129",71,"Self-emp-not-inc","Some-college","Separated","Sales","Unmarried","Black","Male",2,"<=50K"
"130",29,"Private","HS-grad","Divorced","Craft-repair","Not-in-family","White","Male",60,"<=50K"
"131",42,"Private","Bachelors","Separated","Other-service","Other-relative","Black","Male",50,"<=50K"
"132",25,"Private","HS-grad","Never-married","Other-service","Unmarried","White","Female",40,"<=50K"
"133",44,"Self-emp-inc","Masters","Divorced","Exec-managerial","Unmarried","Asian-Pac-Islander","Female",40,"<=50K"
"134",45,"Self-emp-not-inc","Masters","Married-civ-spouse","Sales","Husband","White","Male",40,">50K"
"135",39,"Federal-gov","Assoc-acdm","Never-married","Exec-managerial","Not-in-family","White","Male",42,"<=50K"
"136",46,"State-gov","Masters","Widowed","Protective-serv","Unmarried","White","Male",40,"<=50K"
"137",18,"Private","11th","Never-married","Handlers-cleaners","Own-child","White","Male",16,"<=50K"
"138",66,"Local-gov","Assoc-voc","Widowed","Prof-specialty","Not-in-family","White","Female",20,"<=50K"
"139",27,"Private","HS-grad","Never-married","Other-service","Not-in-family","White","Male",40,"<=50K"
"140",28,"State-gov","HS-grad","Married-civ-spouse","Protective-serv","Husband","White","Male",40,"<=50K"
"141",51,"Private","Some-college","Married-civ-spouse","Sales","Husband","White","Male",40,">50K"
"142",27,"Private","Bachelors","Never-married","Craft-repair","Not-in-family","White","Male",50,"<=50K"
"143",28,"State-gov","Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male",40,">50K"
"144",27,"Private","HS-grad","Married-spouse-absent","Sales","Unmarried","White","Female",25,"<=50K"
"145",21,"Private","HS-grad","Never-married","Craft-repair","Own-child","Black","Male",40,"<=50K"
"146",34,"Private","HS-grad","Never-married","Handlers-cleaners","Not-in-family","Black","Male",40,"<=50K"
"147",18,"Private","HS-grad","Never-married","Other-service","Own-child","White","Male",12,"<=50K"
"148",33,"Private","Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male",65,"<=50K"
"149",44,"Local-gov","Some-college","Married-civ-spouse","Exec-managerial","Husband","Black","Male",38,">50K"
"150",43,"Private","Some-college","Divorced","Adm-clerical","Not-in-family","White","Female",40,"<=50K"
"151",30,"Private","Some-college","Never-married","Craft-repair","Not-in-family","Black","Male",45,"<=50K"
"152",37,"Federal-gov","Some-college","Married-civ-spouse","Adm-clerical","Husband","White","Male",42,">50K"
"153",34,"Private","HS-grad","Married-civ-spouse","Adm-clerical","Husband","Black","Male",40,"<=50K"
"154",41,"Self-emp-not-inc","Bachelors","Divorced","Exec-managerial","Not-in-family","White","Female",40,"<=50K"
"155",31,"Private","Masters","Married-civ-spouse","Prof-specialty","Wife","White","Female",50,"<=50K"
"156",58,"State-gov","Doctorate","Married-civ-spouse","Prof-specialty","Husband","White","Male",1,">50K"
"157",38,"Private","Some-college","Divorced","Machine-op-inspct","Not-in-family","Black","Female",28,"<=50K"
"158",24,"Private","Some-college","Married-civ-spouse","Machine-op-inspct","Husband","White","Male",40,"<=50K"
"159",41,"Local-gov","Bachelors","Married-civ-spouse","Craft-repair","Husband","Black","Male",40,"<=50K"
"160",47,"Private","Some-college","Married-civ-spouse","Tech-support","Husband","White","Male",45,"<=50K"
"161",41,"Federal-gov","Bachelors","Married-civ-spouse","Tech-support","Husband","White","Male",24,"<=50K"
"162",36,"Private","Some-college","Divorced","Craft-repair","Not-in-family","White","Male",40,"<=50K"
"163",40,"Federal-gov","Masters","Never-married","Exec-managerial","Not-in-family","White","Female",55,">50K"
"164",35,"Private","Masters","Married-civ-spouse","Prof-specialty","Other-relative","White","Male",40,">50K"
"165",24,"Self-emp-not-inc","HS-grad","Never-married","Sales","Not-in-family","White","Male",40,"<=50K"
"166",26,"Private","Masters","Never-married","Prof-specialty","Not-in-family","White","Female",40,"<=50K"
"167",51,"Private","Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",50,">50K"
"168",42,"Local-gov","Some-college","Never-married","Prof-specialty","Not-in-family","White","Female",40,"<=50K"
"169",37,"State-gov","HS-grad","Divorced","Adm-clerical","Unmarried","White","Female",35,"<=50K"
"170",18,"Private","11th","Never-married","Sales","Own-child","White","Female",40,"<=50K"
"171",36,"Private","Bachelors","Married-civ-spouse","Other-service","Husband","Black","Male",36,">50K"
"172",35,"Private","HS-grad","Divorced","Craft-repair","Not-in-family","White","Male",60,"<=50K"
"173",58,"Self-emp-inc","HS-grad","Married-civ-spouse","Sales","Wife","White","Female",35,">50K"
"174",17,"Private","11th","Never-married","Sales","Own-child","White","Female",12,"<=50K"
"175",44,"Local-gov","HS-grad","Married-civ-spouse","Transport-moving","Husband","Black","Male",40,"<=50K"
"176",37,"Private","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",40,">50K"
"177",35,"Private","Some-college","Never-married","Sales","Not-in-family","Amer-Indian-Eskimo","Female",40,"<=50K"
"178",60,"Private","HS-grad","Married-civ-spouse","Craft-repair","Husband","Asian-Pac-Islander","Male",40,"<=50K"
"179",54,"Self-emp-inc","7th-8th","Married-civ-spouse","Machine-op-inspct","Husband","White","Male",40,">50K"
"180",37,"Private","Bachelors","Never-married","Exec-managerial","Not-in-family","Black","Male",60,">50K"
"181",50,"Private","Assoc-acdm","Divorced","Sales","Not-in-family","White","Female",40,"<=50K"
"182",45,"Private","Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male",55,"<=50K"
"183",25,"Private","10th","Never-married","Craft-repair","Not-in-family","White","Male",40,"<=50K"
"184",31,"Private","Some-college","Married-civ-spouse","Handlers-cleaners","Husband","White","Male",40,"<=50K"
"185",90,"Private","HS-grad","Never-married","Other-service","Not-in-family","Black","Male",40,"<=50K"
"186",54,"Private","HS-grad","Married-civ-spouse","Adm-clerical","Husband","Black","Male",20,"<=50K"
"187",53,"Local-gov","Preschool","Never-married","Machine-op-inspct","Not-in-family","White","Female",35,"<=50K"
"188",18,"Private","HS-grad","Never-married","Sales","Own-child","White","Female",40,"<=50K"
"189",66,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Farming-fishing","Husband","White","Male",50,"<=50K"
"190",65,"Private","HS-grad","Divorced","Adm-clerical","Not-in-family","White","Female",40,"<=50K"
"191",35,"Private","11th","Separated","Transport-moving","Not-in-family","Black","Male",40,"<=50K"
"192",41,"Private","HS-grad","Divorced","Sales","Unmarried","Black","Female",38,"<=50K"
"193",25,"Private","Some-college","Never-married","Adm-clerical","Not-in-family","White","Male",42,"<=50K"
"194",33,"Private","Some-college","Divorced","Craft-repair","Other-relative","Other","Female",40,"<=50K"
"195",28,"Private","Prof-school","Never-married","Prof-specialty","Not-in-family","White","Male",55,">50K"
"196",59,"State-gov","HS-grad","Married-civ-spouse","Other-service","Husband","White","Male",40,"<=50K"
"197",40,"State-gov","Some-college","Never-married","Adm-clerical","Not-in-family","White","Female",38,"<=50K"
"198",38,"Local-gov","Masters","Married-civ-spouse","Exec-managerial","Husband","White","Male",70,">50K"
"199",23,"Private","HS-grad","Never-married","Transport-moving","Own-child","White","Male",40,"<=50K"
"200",40,"Private","Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male",40,">50K"
"201",41,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Other-service","Wife","White","Female",20,"<=50K"
"202",24,"State-gov","Assoc-acdm","Married-civ-spouse","Protective-serv","Husband","White","Male",50,"<=50K"
"203",38,"Private","Some-college","Divorced","Craft-repair","Not-in-family","White","Male",40,"<=50K"
"204",58,"Private","HS-grad","Married-civ-spouse","Adm-clerical","Husband","White","Male",45,">50K"
"205",32,"Private","HS-grad","Never-married","Other-service","Not-in-family","White","Female",34,"<=50K"
"206",40,"Private","Assoc-acdm","Married-civ-spouse","Tech-support","Husband","White","Male",60,">50K"
"207",41,"Private","Prof-school","Married-civ-spouse","Prof-specialty","Wife","White","Female",40,">50K"
"208",42,"Private","Bachelors","Married-civ-spouse","Adm-clerical","Wife","Black","Female",40,"<=50K"
"209",59,"Local-gov","10th","Widowed","Other-service","Unmarried","Black","Female",30,"<=50K"
"210",19,"Local-gov","Some-college","Never-married","Adm-clerical","Own-child","White","Male",40,"<=50K"
"211",58,"Private","Some-college","Never-married","Transport-moving","Not-in-family","White","Male",20,"<=50K"
"212",20,"Private","HS-grad","Never-married","Other-service","Own-child","White","Female",40,"<=50K"
"213",32,"Private","HS-grad","Separated","Other-service","Not-in-family","White","Female",30,"<=50K"
"214",45,"Private","Assoc-voc","Widowed","Exec-managerial","Not-in-family","White","Female",45,"<=50K"
"215",50,"Private","7th-8th","Divorced","Craft-repair","Not-in-family","White","Male",40,"<=50K"
"216",36,"Private","Bachelors","Divorced","Prof-specialty","Own-child","White","Female",40,"<=50K"
"217",45,"Private","HS-grad","Married-civ-spouse","Sales","Husband","White","Male",60,"<=50K"
"218",17,"Private","11th","Never-married","Other-service","Own-child","White","Male",12,"<=50K"
"219",59,"Private","Some-college","Married-civ-spouse","Sales","Husband","White","Male",40,"<=50K"
"220",26,"Private","11th","Married-civ-spouse","Craft-repair","Husband","White","Male",40,"<=50K"
"221",64,"Private","HS-grad","Married-civ-spouse","Exec-managerial","Husband","White","Male",40,">50K"
"222",33,"Private","Bachelors","Never-married","Prof-specialty","Not-in-family","White","Female",45,"<=50K"
"223",33,"Private","HS-grad","Married-civ-spouse","Craft-repair","Wife","White","Female",40,">50K"
"224",61,"Private","HS-grad","Married-civ-spouse","Exec-managerial","Husband","White","Male",40,">50K"
"225",17,"Private","9th","Never-married","Other-service","Own-child","White","Male",24,"<=50K"
"226",50,"Self-emp-not-inc","Masters","Married-civ-spouse","Farming-fishing","Husband","White","Male",98,"<=50K"
"227",27,"Local-gov","Masters","Never-married","Prof-specialty","Own-child","White","Male",35,"<=50K"
"228",30,"Private","HS-grad","Divorced","Prof-specialty","Own-child","White","Female",40,"<=50K"
"229",43,"Private","HS-grad","Married-civ-spouse","Handlers-cleaners","Husband","Black","Male",40,"<=50K"
"230",44,"Private","Some-college","Married-civ-spouse","Craft-repair","Husband","White","Male",40,">50K"
"231",35,"Private","Some-college","Never-married","Exec-managerial","Not-in-family","White","Female",40,"<=50K"
"232",25,"Private","Some-college","Never-married","Tech-support","Own-child","White","Female",40,"<=50K"
"233",24,"Private","Some-college","Married-civ-spouse","Machine-op-inspct","Wife","White","Female",48,">50K"
"234",42,"Local-gov","Some-college","Married-civ-spouse","Craft-repair","Husband","White","Male",40,">50K"
"235",34,"Private","Assoc-acdm","Divorced","Sales","Unmarried","Black","Female",45,"<=50K"
"236",60,"Private","Bachelors","Divorced","Prof-specialty","Not-in-family","White","Female",42,"<=50K"
"237",21,"Private","HS-grad","Never-married","Handlers-cleaners","Own-child","White","Male",40,"<=50K"
"238",57,"Federal-gov","Masters","Married-civ-spouse","Sales","Husband","White","Male",40,">50K"
"239",41,"Private","Prof-school","Married-civ-spouse","Prof-specialty","Husband","White","Male",60,">50K"
"240",50,"Private","Some-college","Divorced","Other-service","Not-in-family","White","Male",45,"<=50K"
"241",25,"Private","Bachelors","Never-married","Exec-managerial","Not-in-family","White","Female",40,"<=50K"
"242",36,"Private","Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male",45,"<=50K"
"243",31,"Private","HS-grad","Divorced","Prof-specialty","Not-in-family","White","Female",40,"<=50K"
"244",29,"Local-gov","Bachelors","Never-married","Protective-serv","Not-in-family","White","Male",56,"<=50K"
"245",21,"Private","Some-college","Never-married","Sales","Own-child","White","Male",45,"<=50K"
"246",27,"Private","Bachelors","Never-married","Tech-support","Unmarried","Black","Female",40,"<=50K"
"247",65,"Private","HS-grad","Married-civ-spouse","Transport-moving","Husband","White","Male",16,"<=50K"
"248",37,"Self-emp-inc","Bachelors","Divorced","Sales","Not-in-family","White","Female",60,"<=50K"
"249",24,"Private","HS-grad","Never-married","Craft-repair","Own-child","White","Male",40,"<=50K"
"250",38,"Private","HS-grad","Divorced","Sales","Not-in-family","White","Male",80,"<=50K"
"251",48,"Private","Bachelors","Married-civ-spouse","Adm-clerical","Husband","White","Male",40,">50K"
"252",21,"Private","Some-college","Never-married","Other-service","Not-in-family","Asian-Pac-Islander","Female",25,"<=50K"
"253",31,"Private","HS-grad","Married-civ-spouse","Transport-moving","Husband","White","Male",45,">50K"
"254",55,"Private","HS-grad","Married-civ-spouse","Sales","Husband","White","Male",40,">50K"
"255",43,"Private","HS-grad","Divorced","Adm-clerical","Not-in-family","White","Female",40,"<=50K"
"256",26,"Private","Assoc-acdm","Never-married","Tech-support","Not-in-family","White","Male",45,"<=50K"
"257",46,"Private","Assoc-acdm","Never-married","Prof-specialty","Not-in-family","White","Female",33,"<=50K"
"258",35,"Private","Assoc-acdm","Married-civ-spouse","Adm-clerical","Husband","White","Male",40,">50K"
"259",41,"Self-emp-inc","Some-college","Married-civ-spouse","Farming-fishing","Husband","White","Male",54,">50K"
"260",26,"Private","Bachelors","Never-married","Sales","Not-in-family","White","Male",40,"<=50K"
"261",36,"Self-emp-not-inc","Bachelors","Divorced","Prof-specialty","Not-in-family","Black","Female",40,">50K"
"262",22,"Private","Some-college","Never-married","Sales","Own-child","White","Male",15,"<=50K"
"263",24,"Private","Some-college","Never-married","Machine-op-inspct","Not-in-family","White","Male",40,"<=50K"
"264",77,"Self-emp-not-inc","Some-college","Married-civ-spouse","Sales","Husband","White","Male",40,"<=50K"
"265",29,"Private","Some-college","Never-married","Tech-support","Not-in-family","White","Female",40,"<=50K"
"266",62,"Private","HS-grad","Widowed","Other-service","Not-in-family","White","Female",24,"<=50K"
"267",39,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Exec-managerial","Husband","White","Male",40,"<=50K"
"268",43,"Private","Some-college","Married-civ-spouse","Craft-repair","Husband","White","Male",50,"<=50K"
"269",35,"Private","HS-grad","Divorced","Transport-moving","Not-in-family","White","Male",45,"<=50K"
"270",29,"Private","11th","Never-married","Exec-managerial","Not-in-family","White","Female",40,"<=50K"
"271",76,"Self-emp-not-inc","Masters","Married-civ-spouse","Craft-repair","Husband","White","Male",10,"<=50K"
"272",63,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Farming-fishing","Husband","White","Male",45,"<=50K"
"273",43,"Private","Some-college","Married-civ-spouse","Prof-specialty","Wife","White","Female",50,">50K"
"274",58,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Handlers-cleaners","Husband","White","Male",40,"<=50K"
"275",66,"Private","HS-grad","Never-married","Transport-moving","Not-in-family","White","Male",55,"<=50K"
"276",41,"Private","Some-college","Never-married","Craft-repair","Not-in-family","Black","Male",45,"<=50K"
"277",26,"Private","Bachelors","Never-married","Adm-clerical","Not-in-family","White","Male",40,"<=50K"
"278",47,"Private","Assoc-voc","Never-married","Other-service","Not-in-family","White","Male",40,"<=50K"
"279",55,"Local-gov","10th","Married-civ-spouse","Adm-clerical","Husband","White","Male",40,"<=50K"
"280",53,"Private","HS-grad","Married-civ-spouse","Transport-moving","Husband","White","Male",40,"<=50K"
"281",30,"Private","HS-grad","Never-married","Craft-repair","Other-relative","White","Male",40,"<=50K"
